date,nav_per_unit,short_name
2004-05-20,10000.0,DCDS
2004-05-31,10000.0,DCDS
2004-06-30,10099.0,DCDS
2004-07-31,10040.42,DCDS
2004-08-31,10021.0,DCDS
2004-09-30,10055.82,DCDS
2004-10-31,10115.42,DCDS
2004-11-12,10053.62,DCDS
2004-11-19,10025.08,DCDS
2004-11-26,10011.46,DCDS
2004-11-30,10092.08,DCDS
2004-12-03,10062.99,DCDS
2004-12-10,10061.89,DCDS
2004-12-17,10086.26,DCDS
2004-12-24,10137.06,DCDS
2004-12-31,10157.88,DCDS
2005-01-07,10121.2,DCDS
2005-01-14,10159.66,DCDS
2005-01-21,10182.97,DCDS
2005-01-31,10183.86,DCDS
2005-02-04,10220.83,DCDS
2005-02-18,10410.53,DCDS
2005-02-25,10453.4,DCDS
2005-02-28,10445.01,DCDS
2005-03-04,10388.15,DCDS
2005-03-11,10386.91,DCDS
2005-03-18,10432.72,DCDS
2005-03-25,10556.0,DCDS
2005-03-31,10548.13,DCDS
2005-04-01,10530.16,DCDS
2005-04-08,10546.85,DCDS
2005-04-15,10559.0,DCDS
2005-04-22,10558.94,DCDS
2005-04-29,10308.05,DCDS
2005-04-30,10308.5,DCDS
2005-05-06,10299.95,DCDS
2005-05-13,10293.11,DCDS
2005-05-20,10293.98,DCDS
2005-05-27,10307.23,DCDS
2005-05-31,10315.02,DCDS
2005-06-03,10328.56,DCDS
2005-06-10,10341.52,DCDS
2005-06-17,10366.61,DCDS
2005-06-24,10374.18,DCDS
2005-06-30,10361.52,DCDS
2005-07-01,10357.6,DCDS
2005-07-08,10408.19,DCDS
2005-07-15,10424.45,DCDS
2005-07-22,10336.22,DCDS
2005-07-29,10366.51,DCDS
2005-07-31,10377.56,DCDS
2005-08-05,10481.37,DCDS
2005-08-12,10579.18,DCDS
2005-08-19,10600.55,DCDS
2005-08-26,10645.71,DCDS
2005-08-31,10737.34,DCDS
2005-09-02,10741.76,DCDS
2005-09-09,10866.25,DCDS
2005-09-16,11082.68,DCDS
2005-09-23,11217.12,DCDS
2005-09-30,11340.71,DCDS
2005-10-07,11505.15,DCDS
2005-10-14,11789.84,DCDS
2005-10-28,11982.87,DCDS
2005-10-31,11998.92,DCDS
2005-11-04,12210.19,DCDS
2005-11-11,12373.04,DCDS
2005-11-18,12563.18,DCDS
2005-11-25,12563.1,DCDS
2005-11-30,12568.72,DCDS
2005-12-02,12597.45,DCDS
2005-12-09,12670.04,DCDS
2005-12-16,12755.56,DCDS
2005-12-23,12850.09,DCDS
2005-12-30,12861.37,DCDS
2005-12-31,12861.22,DCDS
2006-01-06,12956.64,DCDS
2006-01-13,13306.34,DCDS
2006-01-20,13457.82,DCDS
2006-01-27,13477.33,DCDS
2006-01-31,13476.5,DCDS
2006-02-03,13475.54,DCDS
2006-02-10,13851.16,DCDS
2006-02-17,14606.25,DCDS
2006-02-24,15203.23,DCDS
2006-02-28,15463.16,DCDS
2006-03-03,15675.88,DCDS
2006-03-10,16117.81,DCDS
2006-03-17,15790.41,DCDS
2006-03-24,16254.97,DCDS
2006-03-31,17062.67,DCDS
2006-04-07,18348.0,DCDS
2006-04-14,19704.0,DCDS
2006-04-21,21821.0,DCDS
2006-04-28,22784.0,DCDS
2006-05-05,23396.0,DCDS
2006-05-12,23383.0,DCDS
2006-05-19,23393.0,DCDS
2006-05-26,23635.0,DCDS
2006-06-02,23820.0,DCDS
2006-06-09,24086.0,DCDS
2006-06-16,24462.0,DCDS
2006-06-23,24132.0,DCDS
2006-06-30,24435.0,DCDS
2006-07-07,24264.0,DCDS
2006-07-14,24055.0,DCDS
2006-07-21,23288.0,DCDS
2006-07-28,22784.0,DCDS
2006-08-04,22175.0,DCDS
2006-08-11,22246.0,DCDS
2006-08-18,22601.0,DCDS
2006-08-25,22523.0,DCDS
2006-09-01,22745.0,DCDS
2006-09-08,22986.0,DCDS
2006-09-15,22930.0,DCDS
2006-09-22,23000.0,DCDS
2006-09-29,23771.0,DCDS
2006-10-06,20835.0,DCDS
2006-10-13,20468.0,DCDS
2006-10-20,20561.0,DCDS
2006-10-27,20721.0,DCDS
2006-11-03,20835.0,DCDS
2006-11-10,21300.0,DCDS
2006-11-17,21787.0,DCDS
2006-11-24,23958.0,DCDS
2006-11-30,24263.0,DCDS
2006-12-01,24273.0,DCDS
2006-12-08,26676.0,DCDS
2006-12-15,30406.0,DCDS
2006-12-22,31353.0,DCDS
2006-12-29,33552.37,DCDS
2006-12-31,31281.38,DCDS
2007-01-05,33041.8,DCDS
2007-01-12,36978.14,DCDS
2007-01-19,39619.74,DCDS
2007-01-26,39348.8,DCDS
2007-01-31,42058.62,DCDS
2007-02-02,42948.7,DCDS
2007-02-09,43945.41,DCDS
2007-02-16,45978.58,DCDS
2007-02-23,45959.81,DCDS
2007-02-28,49658.96,DCDS
2007-03-02,49993.43,DCDS
2007-03-09,52041.35,DCDS
2007-03-16,49648.27,DCDS
