p,v,cp,rcp,a,ba,sa,hl,pcp,t
8750.0,181600,50.0,0.0,,2815400.0,3250600.0,False,0.0,14:45:01
8750.0,100,50.0,0.0,SD,2815400.0,3250600.0,False,0.0,14:29:58
8750.0,200,50.0,0.0,SD,2815400.0,3250500.0,False,0.0,14:29:54
8750.0,500,50.0,0.0,SD,2815400.0,3250300.0,False,10.0,14:29:54
8740.0,1800,40.0,0.0,SD,2815400.0,3249800.0,False,-10.0,14:29:46
8750.0,500,50.0,0.0,BU,2815400.0,3248000.0,False,10.0,14:29:39
8740.0,500,40.0,0.0,SD,2814900.0,3248000.0,False,-10.0,14:29:39
8750.0,1000,50.0,0.0,BU,2814900.0,3247500.0,False,10.0,14:29:38
8740.0,1000,40.0,0.0,SD,2813900.0,3247500.0,False,-10.0,14:29:37
8750.0,500,50.0,0.0,BU,2813900.0,3246500.0,False,0.0,14:29:26
8750.0,2200,50.0,0.0,BU,2813400.0,3246500.0,False,0.0,14:29:21
8750.0,200,50.0,0.0,BU,2811200.0,3246500.0,False,0.0,14:29:21
8750.0,300,50.0,0.0,BU,2811000.0,3246500.0,False,0.0,14:29:21
8750.0,200,50.0,0.0,BU,2810700.0,3246500.0,False,0.0,14:29:21
8750.0,100,50.0,0.0,BU,2810500.0,3246500.0,False,0.0,14:29:21
8750.0,1000,50.0,0.0,BU,2810400.0,3246500.0,False,0.0,14:29:21
8750.0,4000,50.0,0.0,BU,2809400.0,3246500.0,False,0.0,14:29:21
8750.0,200,50.0,0.0,BU,2805400.0,3246500.0,False,0.0,14:29:11
8750.0,300,50.0,0.0,BU,2805200.0,3246500.0,False,10.0,14:29:01
8740.0,10000,40.0,0.0,BU,2804900.0,3246500.0,False,10.0,14:29:01
8730.0,100,30.0,0.0,BU,2794900.0,3246500.0,False,0.0,14:28:49
8730.0,500,30.0,0.0,BU,2794800.0,3246500.0,False,0.0,14:28:49
8730.0,1100,30.0,0.0,BU,2794300.0,3246500.0,False,0.0,14:28:49
8730.0,1000,30.0,0.0,BU,2793200.0,3246500.0,False,0.0,14:28:49
8730.0,900,30.0,0.0,BU,2792200.0,3246500.0,False,0.0,14:28:49
8730.0,30000,30.0,0.0,BU,2791300.0,3246500.0,True,0.0,14:28:49
8730.0,100,30.0,0.0,BU,2761300.0,3246500.0,False,0.0,14:28:49
8730.0,1000,30.0,0.0,BU,2761200.0,3246500.0,False,0.0,14:28:48
8730.0,10000,30.0,0.0,BU,2760200.0,3246500.0,False,0.0,14:28:47
8730.0,10000,30.0,0.0,BU,2750200.0,3246500.0,False,0.0,14:28:45
8730.0,5000,30.0,0.0,BU,2740200.0,3246500.0,False,10.0,14:28:44
8720.0,5200,20.0,0.0,SD,2735200.0,3246500.0,False,-10.0,14:28:41
8730.0,2500,30.0,0.0,BU,2735200.0,3241300.0,False,0.0,14:28:40
8730.0,5000,30.0,0.0,BU,2732700.0,3241300.0,False,0.0,14:28:38
8730.0,200,30.0,0.0,BU,2727700.0,3241300.0,False,0.0,14:28:37
8730.0,10000,30.0,0.0,BU,2727500.0,3241300.0,False,0.0,14:28:34
8730.0,300,30.0,0.0,BU,2717500.0,3241300.0,False,10.0,14:28:26
8720.0,600,20.0,0.0,SD,2717200.0,3241300.0,False,0.0,14:28:00
8720.0,100,20.0,0.0,BU,2717200.0,3240700.0,False,0.0,14:27:36
8720.0,900,20.0,0.0,BU,2717100.0,3240700.0,False,0.0,14:27:36
8720.0,400,20.0,0.0,BU,2716200.0,3240700.0,False,0.0,14:27:36
8720.0,700,20.0,0.0,BU,2715800.0,3240700.0,False,0.0,14:27:36
8720.0,100,20.0,0.0,BU,2715100.0,3240700.0,False,0.0,14:27:35
8720.0,12000,20.0,0.0,BU,2715000.0,3240700.0,False,0.0,14:27:35
8720.0,100,20.0,0.0,BU,2703000.0,3240700.0,False,0.0,14:27:35
8720.0,300,20.0,0.0,BU,2702900.0,3240700.0,False,0.0,14:27:35
8720.0,1000,20.0,0.0,BU,2702600.0,3240700.0,False,0.0,14:27:35
8720.0,500,20.0,0.0,BU,2701600.0,3240700.0,False,0.0,14:27:34
8720.0,200,20.0,0.0,BU,2701100.0,3240700.0,False,0.0,14:27:33
8720.0,6000,20.0,0.0,BU,2700900.0,3240700.0,False,0.0,14:27:33
8720.0,2000,20.0,0.0,BU,2694900.0,3240700.0,False,0.0,14:27:33
8720.0,10000,20.0,0.0,BU,2692900.0,3240700.0,False,0.0,14:27:31
8720.0,500,20.0,0.0,BU,2682900.0,3240700.0,False,0.0,14:27:30
8720.0,1000,20.0,0.0,BU,2682400.0,3240700.0,False,0.0,14:27:30
8720.0,5000,20.0,0.0,BU,2681400.0,3240700.0,False,0.0,14:27:30
8720.0,2400,20.0,0.0,BU,2676400.0,3240700.0,False,0.0,14:27:28
8720.0,500,20.0,0.0,BU,2674000.0,3240700.0,False,0.0,14:27:26
8720.0,2000,20.0,0.0,BU,2673500.0,3240700.0,False,0.0,14:27:24
8720.0,2500,20.0,0.0,BU,2671500.0,3240700.0,False,0.0,14:27:23
8720.0,200,20.0,0.0,BU,2669000.0,3240700.0,False,0.0,14:27:23
8720.0,17600,20.0,0.0,BU,2668800.0,3240700.0,False,0.0,14:27:20
8720.0,10000,20.0,0.0,BU,2651200.0,3240700.0,False,0.0,14:27:19
8720.0,700,20.0,0.0,BU,2641200.0,3240700.0,False,0.0,14:27:17
8720.0,1000,20.0,0.0,BU,2640500.0,3240700.0,False,0.0,14:27:16
8720.0,57000,20.0,0.0,BU,2639500.0,3240700.0,True,0.0,14:27:16
8720.0,30000,20.0,0.0,BU,2582500.0,3240700.0,True,0.0,14:27:14
8720.0,400,20.0,0.0,BU,2552500.0,3240700.0,False,0.0,14:27:14
8720.0,5000,20.0,0.0,BU,2552100.0,3240700.0,False,0.0,14:27:12
