p,v,cp,rcp,a,ba,sa,hl,pcp,t
4600.0,365900,140.0,0.0,,2773800.0,1863700.0,False,-20.0,14:45:01
4620.0,100,160.0,0.0,BU,2773800.0,1863700.0,False,0.0,14:29:59
4620.0,3100,160.0,0.0,BU,2773700.0,1863700.0,False,10.0,14:29:56
4610.0,3000,150.0,0.0,SD,2770600.0,1863700.0,False,0.0,14:29:51
4610.0,2000,150.0,0.0,SD,2770600.0,1860700.0,False,-10.0,14:29:51
4620.0,200,160.0,0.0,BU,2770600.0,1858700.0,False,10.0,14:29:50
4610.0,500,150.0,0.0,SD,2770400.0,1858700.0,False,0.0,14:29:48
4610.0,500,150.0,0.0,SD,2770400.0,1858200.0,False,0.0,14:29:41
4610.0,500,150.0,0.0,SD,2770400.0,1857700.0,False,0.0,14:29:41
4610.0,1500,150.0,0.0,SD,2770400.0,1857200.0,False,0.0,14:29:28
4610.0,900,150.0,0.0,SD,2770400.0,1855700.0,False,0.0,14:29:28
4610.0,19100,150.0,0.0,SD,2770400.0,1854800.0,False,0.0,14:29:27
4610.0,1000,150.0,0.0,SD,2770400.0,1835700.0,False,0.0,14:29:27
4610.0,2100,150.0,0.0,SD,2770400.0,1834700.0,False,0.0,14:29:27
4610.0,500,150.0,0.0,SD,2770400.0,1832600.0,False,0.0,14:29:27
4610.0,500,150.0,0.0,SD,2770400.0,1832100.0,False,0.0,14:29:27
4610.0,2800,150.0,0.0,SD,2770400.0,1831600.0,False,-10.0,14:29:27
4620.0,2400,160.0,0.0,BU,2770400.0,1828800.0,False,0.0,14:29:25
4620.0,1000,160.0,0.0,BU,2768000.0,1828800.0,False,0.0,14:29:25
4620.0,1600,160.0,0.0,BU,2767000.0,1828800.0,False,0.0,14:29:25
4620.0,1000,160.0,0.0,BU,2765400.0,1828800.0,False,10.0,14:29:20
4610.0,2000,150.0,0.0,SD,2764400.0,1828800.0,False,-10.0,14:29:19
4620.0,300,160.0,0.0,BU,2764400.0,1826800.0,False,10.0,14:29:14
4610.0,2700,150.0,0.0,SD,2764100.0,1826800.0,False,0.0,14:28:59
4610.0,1000,150.0,0.0,SD,2764100.0,1824100.0,False,0.0,14:28:41
4610.0,200,150.0,0.0,SD,2764100.0,1823100.0,False,0.0,14:28:38
4610.0,500,150.0,0.0,BU,2764100.0,1822900.0,False,0.0,14:28:37
4610.0,900,150.0,0.0,BU,2763600.0,1822900.0,False,0.0,14:28:31
4610.0,100,150.0,0.0,BU,2762700.0,1822900.0,False,-10.0,14:28:26
4620.0,2500,160.0,0.0,BU,2762600.0,1822900.0,False,20.0,14:27:58
4600.0,21300,140.0,0.0,SD,2760100.0,1822900.0,False,0.0,14:27:52
4600.0,1000,140.0,0.0,SD,2760100.0,1801600.0,False,0.0,14:27:52
4600.0,700,140.0,0.0,SD,2760100.0,1800600.0,False,0.0,14:27:52
4600.0,500,140.0,0.0,SD,2760100.0,1799900.0,False,0.0,14:27:52
4600.0,300,140.0,0.0,SD,2760100.0,1799400.0,False,0.0,14:27:52
4600.0,40000,140.0,0.0,SD,2760100.0,1799100.0,False,0.0,14:27:52
4600.0,1900,140.0,0.0,SD,2760100.0,1759100.0,False,0.0,14:27:52
4600.0,500,140.0,0.0,SD,2760100.0,1757200.0,False,0.0,14:27:52
4600.0,500,140.0,0.0,SD,2760100.0,1756700.0,False,0.0,14:27:52
4600.0,200,140.0,0.0,SD,2760100.0,1756200.0,False,0.0,14:27:52
4600.0,200,140.0,0.0,SD,2760100.0,1756000.0,False,0.0,14:27:52
4600.0,2000,140.0,0.0,SD,2760100.0,1755800.0,False,0.0,14:27:52
